corridor,model,horizon,is_primary_horizon,MAE,RMSE,directional_accuracy,normalized_MAE,Path_MAE_H,Future_Best_MAE_H,Regret_MAE_H,n_forecasts
AMD_RUB,NAIVE,1,False,0.0013345854545454546,0.0017649724746759189,0.0,0.006380488556921566,,,,275
AMD_RUB,NAIVE,3,False,0.002688574545454545,0.003413420388567881,0.0,0.012818390627303304,,,,275
AMD_RUB,NAIVE,5,True,0.0034910545454545448,0.0044128337471515955,0.0,0.01662540245592463,0.0025380879999999995,0.002492145454545454,0.010044572943237661,275
AMD_RUB,NAIVE,10,False,0.00490702909090909,0.006205209704756157,0.0,0.023283510697779054,0.0034511032727272723,0.003455094545454544,0.01512399616444329,275
KGS_RUB,NAIVE,1,False,0.005721629090909087,0.007619563976549266,0.0,0.006352574941859514,,,,275
KGS_RUB,NAIVE,3,False,0.011664123636363636,0.014826180507099287,0.0,0.012939386600848021,,,,275
KGS_RUB,NAIVE,5,True,0.015246312727272728,0.019269969243547656,0.0,0.016918301923022103,0.011020138909090907,0.011122149090909085,0.010534081394107032,275
KGS_RUB,NAIVE,10,False,0.02164938181818182,0.027256261735808696,0.0,0.024018202548415017,0.015094249454545454,0.01575925454545454,0.0161330522871972,275
KZT_RUB,NAIVE,1,False,0.0012417709090909081,0.0016530661747739613,0.0,0.007900714918517522,,,,275
KZT_RUB,NAIVE,3,False,0.0022883345454545456,0.002967807841120812,0.0,0.014489179636315786,,,,275
KZT_RUB,NAIVE,5,True,0.0029013709090909092,0.0038782998088431383,0.0,0.01830071858997966,0.0021913519999999997,0.0021244036363636367,0.011313013722333901,275
KZT_RUB,NAIVE,10,False,0.004250723636363637,0.00568149506348141,0.0,0.026418517508203305,0.002927569090909091,0.0028287309090909082,0.016238900283772652,275
TJS_RUB,NAIVE,1,False,0.05492236363636372,0.07408965809072145,0.0036363636363636364,0.006537288294641331,,,,275
TJS_RUB,NAIVE,3,False,0.11271549090909092,0.14146238002959075,0.0,0.01338804192601126,,,,275
TJS_RUB,NAIVE,5,True,0.14590414545454547,0.1822370224415545,0.0,0.017319404894932312,0.10603175272727275,0.10559909090909095,0.010581579709710551,275
TJS_RUB,NAIVE,10,False,0.20321916363636364,0.25526732412832703,0.0,0.02408952827780898,0.14412904727272727,0.14864392727272727,0.01616138107661548,275
UZS_RUB,NAIVE,1,False,4.765279999999998e-05,6.155299722707549e-05,0.007272727272727273,0.0073489697746267875,,,,275
UZS_RUB,NAIVE,3,False,9.618916363636364e-05,0.0001200010546014265,0.0,0.014811130680046839,,,,275
UZS_RUB,NAIVE,5,True,0.00011918552727272726,0.00014912682010837744,0.0,0.018322635583441358,8.901888727272726e-05,8.75729454545454e-05,0.011373335401871236,275
UZS_RUB,NAIVE,10,False,0.00016656803636363635,0.0002088666358447201,0.0,0.025513981247471704,0.00011829214909090908,0.00011930363636363633,0.016753086335843437,275
